ancestry	gene_symbol	source_file	url	expected_size_bytes	sha256	md5	synapse_id	synapse_parent_id	pipeline_batch_id	raw_lifecycle	raw_cleanup_at	raw_cleanup_reason
EUR	ALMS1	ALMS1_Q8TCU4_OID31275_v1_Oncology_II.tar	https://www.synapse.org/Synapse:syn52361439				syn52361439	syn51365303				
EUR	ALPI	ALPI_P09923_OID30497_v1_Inflammation_II.tar	https://www.synapse.org/Synapse:syn52363660	546385920		7b10e3db9b36ece918492c85bfa65767	syn52363660	syn51365303				
EUR	ALPP	ALPP_P05187_OID21383_v1_Oncology.tar	https://www.synapse.org/Synapse:syn51469883				syn51469883	syn51365303				
EUR	AMBN	AMBN_Q9NP70_OID20437_v1_Inflammation.tar	https://www.synapse.org/Synapse:syn51468672				syn51468672	syn51365303				
EUR	AMBP	AMBP_P02760_OID21413_v1_Oncology.tar	https://www.synapse.org/Synapse:syn51470188	548925440		899bdfc63e7c02d8b257cf6ab164f5c0	syn51470188	syn51365303				
EUR	AMDHD2	AMDHD2_Q9Y303_OID30366_v1_Cardiometabolic_II.tar	https://www.synapse.org/Synapse:syn52363653				syn52363653	syn51365303				
EUR	AMFR	AMFR_Q9UKV5_OID20806_v1_Neurology.tar	https://www.synapse.org/Synapse:syn51470371				syn51470371	syn51365303				
EUR	AMIGO1	AMIGO1_Q86WK6_OID30881_v1_Neurology_II.tar	https://www.synapse.org/Synapse:syn52363360				syn52363360	syn51365303				
EUR	AMIGO2	AMIGO2_Q86SJ2_OID21370_v1_Oncology.tar	https://www.synapse.org/Synapse:syn51469111	547471360		9e5f05291eec9b842566d5fe806f162e	syn51469111	syn51365303				
EUR	AMN	AMN_Q9BXJ7_OID20492_v1_Inflammation.tar	https://www.synapse.org/Synapse:syn51468810				syn51468810	syn51365303				
EUR	AMOTL2	AMOTL2_Q9Y2J4_OID31351_v1_Oncology_II.tar	https://www.synapse.org/Synapse:syn52361343				syn52361343	syn51365303				
EUR	AMOT	AMOT_Q4VCS5_OID30572_v1_Inflammation_II.tar	https://www.synapse.org/Synapse:syn52362029				syn52362029	syn51365303				
EUR	AMPD3	AMPD3_Q01432_OID31139_v1_Neurology_II.tar	https://www.synapse.org/Synapse:syn52361861				syn52361861	syn51365303				
EUR	AMY1A	AMY1A_AMY1B_AMY1C_P0DUB6_P0DTE7_P0DTE8_OID30707_v1_Inflammation_II.tar	https://www.synapse.org/Synapse:syn52361338	541644800		f1e59b40a7b2e0de4338083a8ef46878	syn52361338	syn51365303				
EUR	AMY2A	AMY2A_P04746_OID20333_v1_Cardiometabolic.tar	https://www.synapse.org/Synapse:syn51469158				syn51469158	syn51365303				
EUR	AMY2B	AMY2B_P19961_OID20340_v1_Cardiometabolic.tar	https://www.synapse.org/Synapse:syn51471025				syn51471025	syn51365303				
EUR	ANGPT1	ANGPT1_Q15389_OID20740_v1_Inflammation.tar	https://www.synapse.org/Synapse:syn51471320				syn51471320	syn51365303				
EUR	ANGPT2	ANGPT2_O15123_OID21463_v1_Oncology.tar	https://www.synapse.org/Synapse:syn51468418	548945920		764d24445d0f4200bf8021221c64b871	syn51468418	syn51365303				
EUR	ANGPTL1	ANGPTL1_O95841_OID20211_v1_Cardiometabolic.tar	https://www.synapse.org/Synapse:syn51470490	546222080		4e407ecb0d5ae103f54e6fc2334a29dc	syn51470490	syn51365303				
EUR	ANGPTL2	ANGPTL2_Q9UKU9_OID20726_v1_Inflammation.tar	https://www.synapse.org/Synapse:syn51469585				syn51469585	syn51365303				
EUR	ANGPTL3	ANGPTL3_Q9Y5C1_OID20407_v1_Cardiometabolic.tar	https://www.synapse.org/Synapse:syn51468817	548392960		d60c7fabf05eae10969d92adb62e098b	syn51468817	syn51365303				
EUR	ANGPTL4	ANGPTL4_Q9BY76_OID20703_v1_Inflammation.tar	https://www.synapse.org/Synapse:syn51468799				syn51468799	syn51365303				
EUR	ANGPTL7	ANGPTL7_O43827_OID21412_v1_Oncology.tar	https://www.synapse.org/Synapse:syn51470124				syn51470124	syn51365303				
EUR	ANG	ANG_P03950_OID20403_v1_Cardiometabolic.tar	https://www.synapse.org/Synapse:syn51469012	548096000		4a48206fccc34fb44c95a201c868cd8d	syn51469012	syn51365303				
EUR	ANK2	ANK2_Q01484_OID30161_v1_Cardiometabolic_II.tar	https://www.synapse.org/Synapse:syn52361757				syn52361757	syn51365303				
EUR	ANKMY2	ANKMY2_Q8IV38_OID30518_v1_Inflammation_II.tar	https://www.synapse.org/Synapse:syn52362204				syn52362204	syn51365303				
EUR	ANKRA2	ANKRA2_Q9H9E1_OID31173_v1_Oncology_II.tar	https://www.synapse.org/Synapse:syn52362006				syn52362006	syn51365303				
EUR	ANKRD54	ANKRD54_Q6NXT1_OID21162_v1_Oncology.tar	https://www.synapse.org/Synapse:syn51468845				syn51468845	syn51365303				
EUR	ANP32C	ANP32C_O43423_OID30203_v1_Cardiometabolic_II.tar	https://www.synapse.org/Synapse:syn52361331	545689600		02da829754a6bdafe1d06583a54a5788	syn52361331	syn51365303				
EUR	ANPEP	ANPEP_P15144_OID20350_v1_Cardiometabolic.tar	https://www.synapse.org/Synapse:syn51470939	548495360		39f8356123c0f6be00c0665c857181d8	syn51470939	syn51365303				
EUR	ANXA10	ANXA10_Q9UJ72_OID20886_v1_Neurology.tar	https://www.synapse.org/Synapse:syn51471452				syn51471452	syn51365303				
EUR	ANXA11	ANXA11_P50995_OID20583_v1_Inflammation.tar	https://www.synapse.org/Synapse:syn51471227				syn51471227	syn51365303				
EUR	ANXA1	ANXA1_P04083_OID30617_v1_Inflammation_II.tar	https://www.synapse.org/Synapse:syn52362680				syn52362680	syn51365303				
EUR	ANXA2	ANXA2_P07355_OID30263_v1_Cardiometabolic_II.tar	https://www.synapse.org/Synapse:syn52362565				syn52362565	syn51365303				
EUR	ANXA3	ANXA3_P12429_OID21036_v1_Neurology.tar	https://www.synapse.org/Synapse:syn51469713	548720640		95494174731a926aacba943d1cd1de3c	syn51469713	syn51365303				
EUR	ANXA4	ANXA4_P09525_OID20123_v1_Cardiometabolic.tar	https://www.synapse.org/Synapse:syn51470805	547389440		25b73ae25dc02e96c7d3bfbb8815a93f	syn51470805	syn51365303				
EUR	ANXA5	ANXA5_P08758_OID20810_v1_Neurology.tar	https://www.synapse.org/Synapse:syn51470480				syn51470480	syn51365303				
EUR	AOC1	AOC1_P19801_OID20452_v1_Inflammation.tar	https://www.synapse.org/Synapse:syn51470391				syn51470391	syn51365303				
